sequence,ALS_Data
1,1461.000000
2,1459.000000
3,1458.000000
4,1458.000000
5,1456.000000
6,1458.000000
7,1460.000000
8,1459.000000
9,1460.000000
10,1455.000000
11,1459.000000
12,1456.000000
13,1460.000000
14,1458.000000
15,1458.000000
16,1456.000000
17,1458.000000
18,1455.000000
19,1456.000000
20,1458.000000
21,1458.000000
22,1456.000000
23,1454.000000
24,1457.000000
25,1456.000000
26,1454.000000
27,1454.000000
28,1457.000000
29,1454.000000
30,1454.000000
31,1452.000000
32,1454.000000
33,1456.000000
34,1456.000000
35,1454.000000
36,1455.000000
37,1456.000000
38,1456.000000
39,1454.000000
40,1456.000000
41,1456.000000
42,1460.000000
43,1454.000000
44,1456.000000
45,1452.000000
46,1454.000000
47,1455.000000
48,1455.000000
49,1455.000000
50,1458.000000
51,1454.000000
52,1462.000000
53,1462.000000
54,1454.000000
55,1456.000000
56,1456.000000
57,1454.000000
58,1456.000000
59,1454.000000
60,1455.000000
61,1455.000000
62,1454.000000
63,1457.000000
64,1455.000000
65,1454.000000
66,1457.000000
67,1456.000000
68,1459.000000
69,1460.000000
70,1456.000000
71,1454.000000
72,1456.000000
73,1454.000000
74,1456.000000
75,1454.000000
76,1454.000000
77,1456.000000
78,1456.000000
79,1454.000000
80,1456.000000
81,1454.000000
82,1453.000000
83,1456.000000
84,1456.000000
85,1452.000000
86,1452.000000
87,1454.000000
88,1455.000000
89,1456.000000
90,1458.000000
91,1460.000000
92,1458.000000
93,1458.000000
94,1462.000000
95,1460.000000
96,1464.000000
97,1465.000000
98,1466.000000
99,1465.000000
100,1460.000000
101,1462.000000
102,1460.000000
103,1460.000000
104,1462.000000
105,1464.000000
106,1458.000000
107,1460.000000
108,1460.000000
109,1454.000000
110,1453.000000
111,1447.000000
112,1445.000000
113,1436.000000
114,1425.000000
115,1417.000000
116,1384.000000
117,1368.000000
118,1369.000000
119,1391.000000
120,1416.000000
121,1444.000000
122,1454.000000
123,1452.000000
124,1464.000000
125,1468.000000
126,1472.000000
127,1472.000000
128,1474.000000
129,1472.000000
130,1472.000000
131,1472.000000
132,1472.000000
133,1468.000000
134,1466.000000
135,1466.000000
136,1466.000000
137,1468.000000
138,1462.000000
139,1452.000000
140,1452.000000
141,1452.000000
142,1458.000000
143,1463.000000
144,1476.000000
145,1475.000000
146,1478.000000
147,1476.000000
148,1477.000000
149,1478.000000
150,1478.000000
151,1478.000000
152,1478.000000
